board_state,macroboard,current_player,valid_moves,chosen_move,game_result,agent_level,move_number,final_result
"1,0,0,1,0,0,1,0,0,-1,-1,1,1,0,1,0,1,1,-1,0,0,0,0,0,0,1,0,-1,-1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0","1,1,0,0,0,0,0,0,0",1,"19,20,21,22,23,24,26,29,30,31,32,34,35,36,38,39,40,41,42,43,44,46,47,48,49,50,51,52,53,56,57,58,59,60,61,62,65,66,67,68,69,70,71,73,74,75,76,77,78,79,80",73,-1,Random,22,0
"1,0,0,1,0,0,1,0,0,-1,-1,1,1,0,1,0,1,1,-1,0,0,0,0,0,0,1,0,-1,-1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0","1,1,0,0,0,0,0,0,0",-1,"19,20,21,22,23,24,26,29,30,31,32,34,35,36,38,39,40,41,42,43,44,46,47,48,49,50,51,52,53,56,57,58,59,60,61,62,65,66,67,68,69,70,71,74,75,76,77,78,79,80",29,-1,Easy,23,1
"1,0,0,1,0,0,1,0,0,-1,-1,1,1,0,1,0,1,1,-1,0,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0","1,1,0,-1,0,0,0,0,0",1,"19,20,21,22,23,24,26",20,-1,Random,24,0
"1,0,0,1,0,0,1,0,0,-1,-1,1,1,0,1,0,1,1,-1,0,1,0,0,0,0,1,0,-1,-1,-1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0","1,1,0,-1,0,0,0,0,0",-1,"19,21,22,23,24,26",19,-1,Easy,25,1
"1,0,0,1,0,0,1,0,0,-1,-1,1,1,0,1,0,1,1,-1,-1,1,0,0,0,0,1,0,-1,-1,-1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0","1,1,0,-1,0,0,0,0,0",1,"21,22,23,24,26,36,38,39,40,41,42,43,44,46,47,48,49,50,51,52,53,56,57,58,59,60,61,62,65,66,67,68,69,70,71,74,75,76,77,78,79,80",65,-1,Random,26,0
"1,0,0,1,0,0,1,0,0,-1,-1,1,1,0,1,0,1,1,-1,-1,1,0,0,0,0,1,0,-1,-1,-1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-1,-1,1,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0","1,1,0,-1,0,0,0,0,0",-1,"21,22,23,24,26",21,-1,Easy,27,1
"1,0,0,1,0,0,1,0,0,-1,-1,1,1,0,1,0,1,1,-1,-1,1,-1,0,0,0,1,0,-1,-1,-1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-1,-1,1,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0","1,1,0,-1,0,0,0,0,0",1,"22,23,24,26,36,38,39,40,41,42,43,44,46,47,48,49,50,51,52,53,56,57,58,59,60,61,62,66,67,68,69,70,71,74,75,76,77,78,79,80",53,-1,Random,28,0
"1,0,0,1,0,0,1,0,0,-1,-1,1,1,0,1,0,1,1,-1,-1,1,-1,0,0,0,1,0,-1,-1,-1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,-1,-1,0,0,0,0,0,0,0,-1,-1,1,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0","1,1,0,-1,0,0,0,0,0",-1,"74,75,76,77,78,79,80",74,-1,Easy,29,1
"1,0,0,1,0,0,1,0,0,-1,-1,1,1,0,1,0,1,1,-1,-1,1,-1,0,0,0,1,0,-1,-1,-1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,-1,-1,0,0,0,0,0,0,0,-1,-1,1,0,0,0,0,0,0,-1,1,-1,0,0,0,0,0,0","1,1,0,-1,0,0,0,0,0",1,"22,23,24,26",26,-1,Random,30,0
"1,0,0,1,0,0,1,0,0,-1,-1,1,1,0,1,0,1,1,-1,-1,1,-1,0,0,0,1,1,-1,-1,-1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,-1,-1,0,0,0,0,0,0,0,-1,-1,1,0,0,0,0,0,0,-1,1,-1,0,0,0,0,0,0","1,1,0,-1,0,0,0,0,0",-1,"75,76,77,78,79,80",75,-1,Easy,31,1
