Date,Time,Agent_X_Type,Agent_O_Type,Winner,Num_Moves,Game_Duration_Seconds,Final_Board_State
2025-04-19,17:48:39,Hard,Random,X,49,56.64,X  XOOX OOX OXO X X XOXOOOXO XXOOOX OOXXOOX  XXX         XXOOX  XO XO O X  O     
2025-04-19,17:49:02,Hard,Medium,X,51,23.3,XOOOOO   XOXXO  O XOXOOXOXXXXOO XXOOXXX      X OX OX     OOO   O  X  XXOX  XXXOO 
2025-04-19,17:49:24,Medium,Hard,Draw,50,22.6,XOOOOO   XOXXO  O XOXOOX  XXXOOXXXOOXXX      X OX OX     OOO   X  X  X  OOXOOXXO 
2025-04-19,17:49:26,Medium,Random,X,51,1.29,X XOXOXOOO X XOXOOO OX O  OX O XOO  XOO OOOO XXX      OXXXOXOOXXXX        XXX X  
2025-04-19,17:50:06,MCTS,MCTS,O,40,40.14,   XX OOO XO  O  O  X  XOOO   OO   XXXO X  X  OX XO X  X  OO X  O  O XO X  XOXX  
2025-04-19,17:50:16,Easy,MCTS,O,20,10.06,X  OOO   O   O   OO   O   OX        XXX  O   XXX                        XX       
2025-04-19,17:50:33,MCTS,Easy,X,33,17.14,XO X  X  OOXX XX XOOXXX X  OOO       X  XX X OOO      OOO      O        XO       
2025-04-19,17:50:34,Random,Medium,O,40,0.65,XOXOXX   XXXO  XOXOOOX X  X XOXOXO  OXXO  O  OOO      OOX   X      X     OO      
2025-04-19,17:50:54,Medium,MCTS,O,38,20.33,X O O O   OX O  O XXO O O O   XOO OOXXX         O X O X  X   O X  X XXOX X X   XO
2025-04-19,17:50:56,Medium,Easy,X,37,1.59,XOOOOXXXXXOXX  X  XOXOOX  XXOXOX   XOX X     OO       OO       O        OO       
2025-04-19,17:51:10,Easy,MCTS,O,28,14.13,X O  O  OX O O OO XOX OOOO          XX  O    XXX      XX   O   XX       X        
2025-04-19,17:51:28,MCTS,Random,X,35,18.07,X O O OO OX X  OO   X XOXOO  O      XOO      X     OOX O XXX   XXX      XXX    O 
2025-04-19,17:52:11,MCTS,MCTS,X,43,43.08, X OX  X X XOX  O OO  O  X  X  XX XXOOO O  XXO  O  O    XOXXX  XO OXXOOX      OOO
2025-04-19,17:52:11,Easy,Random,X,39,0.04,X  OOO   OXOX OOOOXXOX  X  XXX  O  OX O      XXX      XXOO     X  O O  OXXX   O  
2025-04-19,17:52:44,MCTS,Hard,X,47,32.75,XOOX   XXXOOX  XO OXXOOXX XOOXXOX O   XX X  X  O O O  O     XXXOXO   OX   OOO O  
